[ 2025-06-18 11:57:28,067 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-18 11:57:30,000 ] 71 root - INFO - Performed train test split on the dataframe
[ 2025-06-18 11:57:30,000 ] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-18 11:57:30,001 ] 81 root - INFO - Exporting train and test file path.
[ 2025-06-18 11:57:30,076 ] 90 root - INFO - Exported train and test file path.
[ 2025-06-18 11:57:30,076 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-18 11:57:30,172 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-18 11:57:30,200 ] 34 root - INFO - Required number of columns:2
[ 2025-06-18 11:57:30,219 ] 35 root - INFO - Dataframe has columns:31
[ 2025-06-18 11:57:30,219 ] 34 root - INFO - Required number of columns:2
[ 2025-06-18 11:57:30,219 ] 35 root - INFO - Dataframe has columns:31
[ 2025-06-18 11:57:30,442 ] 27 root - INFO - Data Validation Completed
[ 2025-06-18 11:57:30,443 ] 30 root - INFO - Data Transformation Started
[ 2025-06-18 11:57:30,443 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-18 11:57:30,443 ] 65 root - INFO - Starting Data Transformation
[ 2025-06-18 11:57:30,471 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-18 11:57:30,471 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-18 11:57:30,493 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 11:57:30,497 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:57:30,499 ] 34 root - INFO - Data Transformation Completed
[ 2025-06-18 11:57:30,499 ] 36 root - INFO - Model Training sstared
[ 2025-06-18 12:00:47,507 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 12:00:47,509 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 12:00:47,509 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_18_2025_11_57_25\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911182882519176, precision_score=0.9895203546956872, recall_score=0.9927213910230489), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9736625514403292, precision_score=0.970467596390484, recall_score=0.976878612716763))
[ 2025-06-18 12:00:47,513 ] 41 root - INFO - Model Training artifact created
